id,user_id,tour_id,created_at
1,1,26,2026-06-19 19:00:00
2,1,53,2026-05-08 04:00:00
3,2,160,2026-05-07 02:00:00
4,2,130,2026-03-01 02:00:00
5,2,98,2026-06-10 09:00:00
6,2,144,2026-07-19 06:00:00
7,2,134,2026-06-08 18:00:00
8,3,127,2026-01-01 21:00:00
9,3,133,2026-03-22 11:00:00
10,3,100,2026-02-09 04:00:00
11,3,146,2025-12-26 00:00:00
12,5,34,2026-06-21 09:00:00
13,5,133,2026-03-16 15:00:00
14,5,124,2026-08-10 05:00:00
15,5,3,2026-03-06 20:00:00
16,6,83,2026-03-11 10:00:00
17,6,19,2025-12-30 15:00:00
18,6,131,2026-02-14 14:00:00
19,6,153,2026-06-19 00:00:00
20,7,42,2026-02-22 06:00:00
21,7,228,2026-02-15 12:00:00
22,7,156,2026-05-20 23:00:00
23,8,219,2025-12-23 23:00:00
24,8,164,2026-01-16 11:00:00
25,8,192,2026-04-11 15:00:00
26,8,82,2026-06-11 12:00:00
27,8,136,2026-04-13 09:00:00
28,8,14,2026-01-23 07:00:00
29,8,60,2026-05-06 22:00:00
30,8,132,2026-03-10 03:00:00
31,9,146,2026-03-03 23:00:00
32,9,25,2025-12-24 08:00:00
33,9,67,2025-12-30 02:00:00
34,9,53,2026-03-27 08:00:00
35,10,188,2026-08-12 00:00:00
36,10,182,2026-03-02 23:00:00
37,10,49,2026-03-16 17:00:00
38,10,146,2026-01-08 21:00:00
39,11,175,2026-04-04 19:00:00
40,11,232,2026-03-11 14:00:00
41,11,207,2026-01-24 15:00:00
42,11,74,2026-06-05 21:00:00
43,11,162,2026-06-27 04:00:00
44,11,18,2026-08-02 23:00:00
45,11,49,2026-05-21 02:00:00
46,12,27,2026-03-16 03:00:00
47,12,109,2026-04-05 01:00:00
48,14,171,2026-06-29 04:00:00
49,14,10,2026-05-19 14:00:00
50,15,16,2026-06-01 15:00:00
51,15,192,2026-06-04 13:00:00
52,16,191,2026-02-22 21:00:00
53,16,131,2026-06-22 22:00:00
54,16,140,2026-04-13 21:00:00
55,16,48,2026-07-19 14:00:00
56,16,68,2026-02-28 22:00:00
57,16,189,2026-02-09 01:00:00
58,17,133,2026-05-09 22:00:00
59,17,191,2025-12-15 23:00:00
60,17,33,2026-04-17 20:00:00
61,19,216,2026-01-04 11:00:00
62,19,67,2026-06-30 02:00:00
63,19,40,2026-01-23 20:00:00
64,20,10,2026-03-13 19:00:00
65,20,40,2026-04-16 18:00:00
66,20,1,2026-02-19 21:00:00
67,20,91,2026-03-12 11:00:00
68,20,98,2026-03-25 16:00:00
69,20,198,2026-07-11 15:00:00
70,21,144,2026-07-28 06:00:00
71,22,14,2025-12-26 00:00:00
72,22,218,2026-01-13 00:00:00
73,22,67,2026-05-02 19:00:00
74,22,8,2026-04-16 07:00:00
