id,tour_id,tag,weight
1,1,romantic,0.96
2,1,family,0.908
3,1,beach,0.761
4,1,water_sports,0.752
5,1,relax,0.634
6,1,luxury,0.624
7,1,budget,0.417
8,1,history,0.345
9,1,nature,0.291
10,2,relax,0.961
11,2,family,0.835
12,2,luxury,0.775
13,2,romantic,0.759
14,2,water_sports,0.663
15,2,beach,0.621
16,2,spiritual,0.298
17,3,luxury,0.912
18,3,beach,0.903
19,3,photography,0.899
20,3,cruise,0.613
21,3,family,0.59
22,3,adventure,0.381
23,4,family,0.959
24,4,water_sports,0.932
25,4,relax,0.887
26,4,romantic,0.79
27,4,beach,0.649
28,4,luxury,0.592
29,4,mountain,0.461
30,4,nightlife,0.219
31,5,water_sports,0.835
32,5,romantic,0.76
33,5,family,0.74
34,5,relax,0.736
35,5,beach,0.65
36,5,luxury,0.582
37,5,history,0.444
38,5,shopping,0.429
39,5,mountain,0.278
40,6,romantic,0.978
41,6,nature,0.879
42,6,photography,0.736
43,6,mountain,0.733
44,6,relax,0.613
45,6,food,0.612
46,6,adventure,0.405
47,6,city,0.3
48,7,beach,0.939
49,7,spiritual,0.913
50,7,history,0.86
51,7,relax,0.735
52,7,nature,0.593
53,7,luxury,0.477
54,7,cruise,0.28
55,7,nightlife,0.235
56,8,beach,0.973
57,8,cruise,0.914
58,8,luxury,0.833
59,8,family,0.62
60,8,photography,0.596
61,8,budget,0.463
62,8,shopping,0.266
63,8,nature,0.259
64,9,photography,0.945
65,9,beach,0.943
66,9,cruise,0.64
67,9,luxury,0.595
68,9,family,0.583
69,9,city,0.443
70,9,relax,0.388
71,9,food,0.314
72,10,romantic,0.945
73,10,mountain,0.834
74,10,relax,0.734
75,10,nature,0.644
76,10,photography,0.618
77,10,food,0.592
78,10,culture,0.24
79,11,family,0.963
80,11,food,0.93
81,11,beach,0.654
82,11,nightlife,0.635
83,11,water_sports,0.61
84,11,photography,0.231
85,11,spiritual,0.191
86,12,relax,0.975
87,12,food,0.893
88,12,photography,0.784
89,12,romantic,0.719
90,12,mountain,0.684
91,12,nature,0.594
92,12,budget,0.462
93,12,water_sports,0.347
94,12,cruise,0.202
95,13,cruise,0.934
96,13,luxury,0.917
97,13,photography,0.843
98,13,beach,0.766
99,13,family,0.67
100,13,adventure,0.224
101,14,city,0.931
102,14,food,0.837
103,14,water_sports,0.815
104,14,beach,0.807
105,14,family,0.719
106,14,photography,0.624
107,14,wildlife,0.292
108,14,adventure,0.273
109,15,food,0.931
110,15,spiritual,0.873
111,15,history,0.872
112,15,culture,0.834
113,15,city,0.731
114,15,budget,0.452
115,15,mountain,0.255
116,16,history,0.975
117,16,city,0.836
118,16,shopping,0.762
119,16,food,0.671
120,16,nightlife,0.633
121,16,festival,0.439
122,16,romantic,0.293
123,16,adventure,0.244
124,17,beach,0.975
125,17,luxury,0.818
126,17,water_sports,0.726
127,17,relax,0.673
128,17,family,0.669
129,17,romantic,0.647
130,17,adventure,0.262
131,17,shopping,0.252
132,18,city,0.934
133,18,history,0.919
134,18,food,0.778
135,18,culture,0.667
136,18,spiritual,0.6
137,18,festival,0.407
138,18,adventure,0.362
139,19,family,0.934
140,19,beach,0.878
141,19,food,0.87
142,19,city,0.825
143,19,photography,0.657
144,19,water_sports,0.629
145,19,adventure,0.217
146,20,food,0.834
147,20,photography,0.803
148,20,history,0.762
149,20,romantic,0.708
150,20,culture,0.661
151,20,adventure,0.435
152,20,shopping,0.385
153,20,beach,0.384
154,21,water_sports,0.886
155,21,nightlife,0.797
156,21,food,0.783
157,21,family,0.678
158,21,beach,0.614
159,21,culture,0.477
160,21,adventure,0.418
161,22,food,0.896
162,22,nature,0.859
163,22,romantic,0.858
164,22,photography,0.738
165,22,mountain,0.683
166,22,relax,0.603
167,22,spiritual,0.323
168,23,adventure,0.974
169,23,mountain,0.957
170,23,photography,0.851
171,23,nature,0.735
172,23,culture,0.698
173,23,food,0.473
174,23,wildlife,0.432
175,23,water_sports,0.421
176,24,beach,0.96
177,24,water_sports,0.874
178,24,family,0.867
179,24,photography,0.837
180,24,city,0.832
181,24,food,0.672
182,24,mountain,0.378
183,24,romantic,0.206
184,25,relax,0.902
185,25,nature,0.796
186,25,photography,0.794
187,25,romantic,0.756
188,25,mountain,0.665
189,25,food,0.618
190,25,wildlife,0.372
191,25,water_sports,0.349
192,25,family,0.281
193,26,mountain,0.937
194,26,romantic,0.9
195,26,relax,0.82
196,26,photography,0.728
197,26,nature,0.663
198,26,food,0.627
199,26,cruise,0.475
200,26,beach,0.459
201,26,history,0.306
202,27,photography,0.912
203,27,adventure,0.887
204,27,culture,0.794
205,27,nature,0.702
206,27,mountain,0.697
207,27,family,0.429
208,27,history,0.366
209,28,relax,0.976
210,28,nature,0.97
211,28,beach,0.613
212,28,spiritual,0.607
213,28,history,0.582
214,28,nightlife,0.441
215,28,wildlife,0.435
216,29,relax,0.831
217,29,water_sports,0.705
218,29,romantic,0.682
219,29,beach,0.666
220,29,luxury,0.647
221,29,family,0.609
222,29,mountain,0.404
223,30,photography,0.86
224,30,mountain,0.856
225,30,nature,0.82
226,30,adventure,0.65
227,30,culture,0.612
228,30,spiritual,0.472
229,31,family,0.941
230,31,luxury,0.837
231,31,beach,0.667
232,31,photography,0.632
233,31,cruise,0.609
234,31,adventure,0.382
235,31,water_sports,0.268
236,31,food,0.229
237,32,luxury,0.94
238,32,relax,0.881
239,32,romantic,0.79
240,32,water_sports,0.782
241,32,beach,0.759
242,32,family,0.592
243,32,culture,0.303
244,32,wildlife,0.277
245,32,spiritual,0.242
246,33,photography,0.933
247,33,culture,0.897
248,33,history,0.875
249,33,romantic,0.823
250,33,food,0.611
251,33,water_sports,0.344
252,33,beach,0.234
253,33,mountain,0.196
254,34,culture,0.863
255,34,nature,0.821
256,34,adventure,0.754
257,34,photography,0.752
258,34,mountain,0.609
259,34,relax,0.401
260,34,shopping,0.271
261,34,budget,0.18
262,35,culture,0.968
263,35,photography,0.887
264,35,food,0.789
265,35,history,0.728
266,35,romantic,0.706
267,35,family,0.236
268,35,mountain,0.181
269,36,relax,0.963
270,36,food,0.895
271,36,romantic,0.849
272,36,photography,0.792
273,36,nature,0.651
274,36,mountain,0.626
275,36,history,0.47
276,37,culture,0.94
277,37,spiritual,0.902
278,37,city,0.824
279,37,food,0.626
280,37,history,0.586
281,37,adventure,0.374
282,37,water_sports,0.352
283,37,mountain,0.2
284,38,photography,0.76
285,38,beach,0.702
286,38,family,0.673
287,38,city,0.666
288,38,water_sports,0.656
289,38,food,0.621
290,38,shopping,0.353
291,38,romantic,0.223
292,39,relax,0.849
293,39,beach,0.747
294,39,history,0.739
295,39,spiritual,0.685
296,39,nature,0.623
297,39,shopping,0.24
298,39,photography,0.233
299,40,food,0.858
300,40,relax,0.761
301,40,romantic,0.705
302,40,mountain,0.704
303,40,nature,0.7
304,40,photography,0.635
305,40,luxury,0.396
306,40,city,0.203
307,41,beach,0.917
308,41,family,0.9
309,41,water_sports,0.832
310,41,photography,0.815
311,41,city,0.77
312,41,food,0.75
313,41,luxury,0.361
314,41,culture,0.349
315,41,romantic,0.189
316,42,food,0.899
317,42,city,0.813
318,42,history,0.807
319,42,culture,0.701
320,42,shopping,0.628
321,42,spiritual,0.382
322,42,water_sports,0.215
323,43,romantic,0.974
324,43,food,0.938
325,43,photography,0.925
326,43,history,0.771
327,43,culture,0.614
328,43,nightlife,0.269
329,43,water_sports,0.248
330,43,beach,0.23
331,44,spiritual,0.906
332,44,beach,0.863
333,44,relax,0.857
334,44,nature,0.847
335,44,history,0.688
336,44,adventure,0.442
337,44,budget,0.266
338,45,nature,0.843
339,45,adventure,0.764
340,45,mountain,0.735
341,45,photography,0.673
342,45,culture,0.651
343,45,beach,0.198
344,46,culture,0.771
345,46,photography,0.712
346,46,food,0.613
347,46,history,0.611
348,46,romantic,0.598
349,46,festival,0.313
350,47,spiritual,0.874
351,47,beach,0.859
352,47,relax,0.75
353,47,history,0.667
354,47,nature,0.614
355,47,nightlife,0.383
356,47,city,0.33
357,47,cruise,0.249
358,48,food,0.947
359,48,romantic,0.858
360,48,photography,0.725
361,48,history,0.692
362,48,culture,0.681
363,48,festival,0.342
364,48,wildlife,0.318
365,48,city,0.293
366,49,family,0.887
367,49,relax,0.828
368,49,luxury,0.634
369,49,romantic,0.617
370,49,beach,0.613
371,49,water_sports,0.597
372,49,city,0.415
373,49,adventure,0.296
374,50,photography,0.898
375,50,mountain,0.838
376,50,adventure,0.804
377,50,culture,0.79
378,50,nature,0.728
379,50,romantic,0.236
380,51,relax,0.827
381,51,nature,0.798
382,51,spiritual,0.707
383,51,beach,0.696
384,51,history,0.631
385,51,family,0.418
386,51,mountain,0.418
387,51,romantic,0.33
388,52,romantic,0.975
389,52,history,0.94
390,52,food,0.907
391,52,culture,0.753
392,52,photography,0.61
393,52,adventure,0.436
394,52,family,0.387
395,52,nature,0.351
396,53,food,0.928
397,53,romantic,0.851
398,53,culture,0.673
399,53,history,0.613
400,53,photography,0.583
401,53,beach,0.339
402,54,beach,0.822
403,54,water_sports,0.802
404,54,city,0.795
405,54,family,0.737
406,54,food,0.701
407,54,photography,0.629
408,54,shopping,0.347
409,55,culture,0.84
410,55,adventure,0.834
411,55,photography,0.766
412,55,nature,0.733
413,55,mountain,0.707
414,55,spiritual,0.409
415,55,family,0.188
416,56,history,0.974
417,56,beach,0.908
418,56,nature,0.859
419,56,relax,0.795
420,56,spiritual,0.686
421,56,cruise,0.421
422,56,food,0.255
423,56,wildlife,0.206
424,57,city,0.928
425,57,food,0.843
426,57,history,0.758
427,57,culture,0.747
428,57,shopping,0.614
429,57,photography,0.427
430,57,beach,0.293
431,57,spiritual,0.206
432,58,city,0.948
433,58,shopping,0.859
434,58,nightlife,0.675
435,58,food,0.629
436,58,history,0.583
437,58,budget,0.34
438,59,history,0.861
439,59,city,0.793
440,59,food,0.755
441,59,culture,0.741
442,59,spiritual,0.586
443,59,adventure,0.433
444,59,mountain,0.419
445,60,culture,0.96
446,60,shopping,0.808
447,60,food,0.67
448,60,city,0.661
449,60,history,0.63
450,60,budget,0.443
451,60,wildlife,0.407
452,60,water_sports,0.388
453,61,culture,0.81
454,61,nature,0.77
455,61,mountain,0.703
456,61,photography,0.698
457,61,adventure,0.581
458,61,cruise,0.418
459,61,shopping,0.417
460,62,romantic,0.959
461,62,beach,0.821
462,62,family,0.742
463,62,luxury,0.718
464,62,water_sports,0.703
465,62,relax,0.669
466,62,culture,0.348
467,63,water_sports,0.966
468,63,relax,0.909
469,63,beach,0.881
