id,user_id,tour_id,action_type,search_query,created_at
1,1,213,view,,2026-06-22 23:00:00
2,1,164,click,,2026-01-10 18:00:00
3,1,116,click,,2026-05-31 04:00:00
4,1,26,save,,2026-06-19 19:00:00
5,1,22,click,,2026-03-05 15:00:00
6,1,53,save,,2026-05-08 04:00:00
7,1,161,view,,2026-02-20 03:00:00
8,1,192,click,,2026-04-14 17:00:00
9,1,208,view,,2026-06-29 13:00:00
10,1,,search,tour Đà Lạt 5 ngày dưới 8 triệu,2026-06-10 08:00:00
11,1,,search,tour Hội An 5 ngày dưới 8 triệu,2026-06-23 08:00:00
12,2,160,click,,2026-05-07 02:00:00
13,2,87,click,,2026-03-30 14:00:00
14,2,130,click,,2026-03-01 02:00:00
15,2,98,view,,2026-06-10 09:00:00
16,2,229,click,,2026-05-15 18:00:00
17,2,144,view,,2026-07-19 06:00:00
18,2,134,view,,2026-06-08 18:00:00
19,2,224,view,,2026-03-10 09:00:00
20,2,221,click,,2026-07-10 06:00:00
21,2,,search,tour Cao Bằng 4 ngày dưới 10 triệu,2026-06-22 08:00:00
22,2,,search,tour Đà Lạt 4 ngày dưới 10 triệu,2026-03-14 08:00:00
23,3,24,view,,2026-05-13 09:00:00
24,3,217,click,,2026-05-13 09:00:00
25,3,125,click,,2026-06-06 14:00:00
26,3,233,click,,2026-05-15 10:00:00
27,3,12,view,,2026-01-21 12:00:00
28,3,83,click,,2026-03-05 16:00:00
29,3,96,view,,2026-04-14 04:00:00
30,3,127,save,,2026-01-01 21:00:00
31,3,133,save,,2026-03-22 11:00:00
32,3,82,view,,2026-01-19 06:00:00
33,3,137,view,,2026-01-22 11:00:00
34,3,100,save,,2026-02-09 04:00:00
35,3,178,view,,2026-04-04 12:00:00
36,3,10,view,,2026-05-08 08:00:00
37,3,221,view,,2026-07-22 22:00:00
38,3,235,view,,2026-04-16 02:00:00
39,3,146,save,,2025-12-26 00:00:00
40,3,,search,tour Nha Trang 3 ngày dưới 8 triệu,2026-08-08 08:00:00
41,3,,search,tour Hà Nội 3 ngày dưới 8 triệu,2026-06-27 08:00:00
42,4,4,view,,2026-01-01 08:00:00
43,4,14,view,,2026-07-05 15:00:00
44,4,140,click,,2025-12-24 23:00:00
45,4,34,view,,2026-06-15 16:00:00
46,4,19,click,,2026-02-20 18:00:00
47,4,60,click,,2026-05-13 09:00:00
48,4,115,view,,2026-08-09 05:00:00
49,4,,search,tour Hạ Long 5 ngày dưới 4 triệu,2026-04-11 08:00:00
50,4,,search,tour Cao Bằng 5 ngày dưới 4 triệu,2026-06-05 08:00:00
51,5,229,view,,2026-05-30 12:00:00
52,5,34,view,,2026-06-21 09:00:00
53,5,133,save,,2026-03-16 15:00:00
54,5,124,save,,2026-08-10 05:00:00
55,5,135,click,,2026-03-02 07:00:00
56,5,3,save,,2026-03-06 20:00:00
57,5,9,view,,2026-06-04 06:00:00
58,5,233,click,,2026-03-09 16:00:00
59,5,29,view,,2026-05-28 20:00:00
60,5,,search,tour Hạ Long 3 ngày dưới 18 triệu,2026-06-02 08:00:00
