id,user_id,tag,weight
1,1,romantic,0.301
2,1,nature,0.145
3,1,food,0.56
4,1,photography,0.904
5,1,shopping,0.972
6,1,city,0.66
7,1,history,0.237
8,1,festival,0.138
9,1,nightlife,0.95
10,2,adventure,0.698
11,2,nature,0.863
12,2,relax,0.145
13,2,spiritual,0.111
14,2,photography,0.828
15,2,mountain,0.682
16,2,wildlife,0.651
17,2,cruise,0.186
18,2,water_sports,0.298
19,3,romantic,0.614
20,3,beach,0.703
21,3,food,0.594
22,3,relax,0.835
23,3,photography,0.647
24,3,festival,0.31
25,3,cruise,0.344
26,4,family,0.812
27,4,beach,0.635
28,4,nature,0.153
29,4,food,0.792
30,4,relax,0.104
31,4,budget,0.635
32,4,city,0.898
33,5,adventure,0.817
34,5,nature,0.814
35,5,photography,0.997
36,5,mountain,0.633
37,5,festival,0.151
38,5,wildlife,0.64
39,6,family,0.967
40,6,beach,0.796
41,6,food,0.598
42,6,budget,0.814
43,6,photography,0.194
44,6,city,0.93
45,7,adventure,0.833
46,7,nature,0.577
47,7,food,0.234
48,7,spiritual,0.314
49,7,photography,0.951
50,7,mountain,0.681
51,7,wildlife,0.971
52,8,romantic,0.251
53,8,food,0.765
54,8,photography,0.904
55,8,shopping,0.903
56,8,city,0.719
57,8,festival,0.178
58,8,nightlife,0.639
59,9,adventure,0.15
60,9,food,0.787
61,9,culture,0.219
62,9,photography,0.626
63,9,shopping,0.917
64,9,city,0.785
65,9,wildlife,0.149
66,9,nightlife,0.708
67,10,family,0.675
68,10,beach,0.946
69,10,food,0.588
70,10,budget,0.554
71,10,shopping,0.169
72,10,city,0.816
73,11,family,0.854
74,11,adventure,0.123
75,11,beach,0.837
76,11,food,0.572
77,11,budget,0.613
78,11,luxury,0.274
79,11,city,0.576
80,11,history,0.272
81,12,romantic,0.61
82,12,beach,0.709
83,12,food,0.642
84,12,relax,0.687
85,12,budget,0.209
86,12,photography,0.695
87,12,mountain,0.315
88,12,city,0.239
89,12,cruise,0.103
90,13,family,0.349
91,13,romantic,0.679
92,13,beach,0.968
93,13,food,0.121
94,13,culture,0.304
95,13,relax,0.705
96,13,luxury,0.849
97,13,history,0.332
98,13,cruise,0.57
99,14,adventure,0.863
100,14,nature,0.653
101,14,spiritual,0.264
102,14,photography,0.721
103,14,mountain,0.603
104,14,wildlife,0.841
105,14,water_sports,0.263
106,15,food,0.692
107,15,budget,0.184
108,15,photography,0.815
109,15,shopping,0.888
110,15,city,0.916
111,15,history,0.271
112,15,nightlife,1.0
113,16,food,0.987
114,16,photography,0.985
115,16,shopping,0.574
116,16,city,0.991
117,16,cruise,0.246
118,16,nightlife,0.854
119,17,romantic,0.217
120,17,adventure,0.663
121,17,nature,0.653
122,17,culture,0.179
123,17,photography,0.838
124,17,shopping,0.286
125,17,mountain,0.598
126,17,festival,0.33
127,17,wildlife,0.697
128,18,food,0.891
129,18,budget,0.275
130,18,photography,0.699
131,18,shopping,0.807
132,18,city,0.88
133,18,nightlife,0.747
134,19,romantic,0.257
135,19,adventure,0.282
136,19,beach,0.167
137,19,food,0.723
138,19,luxury,0.258
139,19,photography,0.97
140,19,shopping,0.918
141,19,city,0.808
142,19,nightlife,0.694
143,20,romantic,0.792
144,20,beach,0.862
145,20,food,0.971
146,20,culture,0.246
147,20,relax,0.846
148,20,luxury,0.218
149,20,photography,0.601
150,20,cruise,0.288
151,21,adventure,0.629
152,21,nature,0.765
153,21,food,0.202
154,21,photography,0.69
155,21,mountain,0.973
156,21,history,0.166
157,21,wildlife,0.884
158,21,water_sports,0.128
159,22,family,0.724
160,22,adventure,0.172
161,22,beach,0.849
162,22,nature,0.311
163,22,food,0.743
164,22,budget,0.919
165,22,city,0.956
166,22,history,0.3
167,22,festival,0.117
168,23,romantic,0.897
169,23,beach,0.709
170,23,relax,0.742
171,23,luxury,0.56
172,23,shopping,0.187
173,23,city,0.262
174,23,cruise,0.659
175,24,food,0.825
176,24,culture,0.589
177,24,spiritual,0.992
178,24,shopping,0.131
179,24,city,0.832
180,24,history,0.99
181,25,adventure,0.996
182,25,nature,0.729
183,25,relax,0.103
184,25,spiritual,0.172
185,25,photography,0.796
186,25,mountain,0.569
187,25,history,0.122
188,25,wildlife,0.687
189,25,water_sports,0.208
190,26,family,0.64
191,26,romantic,0.296
192,26,adventure,0.219
193,26,beach,0.836
194,26,food,0.842
195,26,budget,0.626
196,26,spiritual,0.109
197,26,city,0.584
198,27,romantic,0.955
199,27,beach,0.67
200,27,food,0.608
201,27,relax,0.642
202,27,budget,0.293
203,27,photography,0.943
204,27,water_sports,0.171
205,28,adventure,0.694
206,28,nature,0.617
207,28,food,0.141
208,28,photography,0.869
209,28,mountain,0.883
210,28,wildlife,0.772
211,29,romantic,0.869
212,29,adventure,0.233
213,29,beach,0.801
214,29,food,0.92
215,29,relax,0.745
216,29,photography,0.602
217,29,shopping,0.35
218,30,romantic,0.644
219,30,beach,0.594
220,30,food,0.567
221,30,relax,0.817
222,30,budget,0.134
223,30,luxury,0.128
224,30,photography,0.958
225,30,cruise,0.138
226,30,nightlife,0.209
227,31,romantic,0.809
228,31,beach,0.628
229,31,food,0.679
230,31,culture,0.122
231,31,relax,0.71
232,31,photography,0.748
233,32,romantic,0.816
234,32,beach,0.679
235,32,nature,0.312
236,32,culture,0.33
237,32,relax,0.85
238,32,luxury,0.879
239,32,shopping,0.136
240,32,cruise,0.781
241,33,romantic,0.99
242,33,beach,0.559
243,33,relax,0.901
244,33,luxury,0.828
245,33,wildlife,0.182
246,33,cruise,0.557
247,34,romantic,0.71
248,34,beach,0.958
249,34,food,0.737
250,34,culture,0.162
251,34,relax,0.716
252,34,photography,0.85
253,34,nightlife,0.179
254,35,food,0.723
255,35,budget,0.174
256,35,photography,0.973
257,35,shopping,0.823
258,35,city,0.599
259,35,nightlife,0.845
260,36,family,0.349
261,36,food,0.747
262,36,culture,0.74
263,36,relax,0.259
264,36,luxury,0.277
265,36,spiritual,0.804
266,36,city,0.609
267,36,history,0.73
268,37,family,0.599
269,37,romantic,0.193
270,37,beach,0.683
271,37,food,0.663
272,37,budget,0.648
273,37,shopping,0.313
274,37,city,0.607
275,37,cruise,0.271
276,38,food,0.657
277,38,spiritual,0.166
278,38,photography,0.575
279,38,shopping,0.795
280,38,mountain,0.307
281,38,city,0.631
282,38,wildlife,0.216
283,38,nightlife,0.711
284,39,romantic,0.912
285,39,beach,0.972
286,39,food,0.576
287,39,relax,0.885
288,39,photography,0.66
289,39,mountain,0.248
290,39,history,0.133
291,39,festival,0.136
292,40,romantic,0.559
293,40,beach,0.894
294,40,culture,0.319
295,40,relax,0.902
296,40,luxury,0.884
297,40,cruise,0.566
298,41,romantic,0.239
299,41,adventure,0.987
300,41,nature,0.893
301,41,photography,0.845
302,41,mountain,0.695
303,41,wildlife,0.728
304,42,food,0.57
305,42,culture,0.832
306,42,spiritual,0.64
307,42,mountain,0.27
308,42,city,0.878
